,City,Country,Max Temp,Humidity,Wind Speed,Cloudiness,Longitude,Latitude
46,Mahibadhoo,MV,82.54,100,12.44,8,72.97,3.78
47,Rizhao,CN,44.29,66,10.98,56,119.46,35.43
48,Tateyama,JP,30.2,86,4.7,75,137.31,36.66
49,Ushuaia,AR,48.2,87,12.75,40,-68.31,-54.81
50,Victoria,BN,84.2,83,3.36,75,115.24,5.28
51,Saskylakh,RU,-27.63,44,2.93,32,114.09,71.97
52,Kazuno,JP,28.4,85,13.87,75,140.83,40.2
53,Chokurdakh,RU,-10.71,73,12.44,68,147.9,70.62
54,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
55,Oskemen,KZ,-20.21,75,2.15,40,82.61,49.96
56,Saskylakh,RU,-27.63,44,2.93,32,114.09,71.97
57,Albany,US,32.0,79,6.93,90,-73.75,42.65
58,Castro,CL,58.82,93,3.94,76,-73.76,-42.48
59,Coquimbo,CL,60.8,93,3.36,75,-71.34,-29.95
60,Dukat,RS,22.77,77,1.92,36,22.31,42.44
61,New Norfolk,AU,60.8,67,18.34,75,147.06,-42.78
62,New Norfolk,AU,60.8,67,18.34,75,147.06,-42.78
63,Busselton,AU,73.81,90,10.98,0,115.35,-33.64
64,Port Blair,IN,79.97,100,2.93,0,92.75,11.67
65,Hamilton,BM,69.8,88,9.17,90,-64.78,32.3
66,Hilo,US,78.8,61,6.96,1,-155.08,19.71
67,Tuatapere,NZ,63.64,87,23.4,36,167.69,-46.13
68,Banjar,ID,81.72,82,3.04,12,108.54,-7.37
69,Alyangula,AU,88.52,87,8.41,12,136.42,-13.85
70,New Norfolk,AU,60.8,67,18.34,75,147.06,-42.78
71,Saint George,GR,41.0,93,4.7,0,22.34,39.45
72,Longyearbyen,NO,8.6,65,8.05,20,15.63,78.22
73,Salinopolis,BR,80.56,96,9.98,100,-47.36,-0.61
74,Ust-Omchug,RU,-10.67,65,3.49,20,149.63,61.13
75,Sharjah,AE,71.6,43,3.36,0,55.39,25.36
76,San Juan,PR,75.2,78,13.87,40,-66.12,18.47
77,Cape Town,ZA,59.0,87,10.29,0,18.42,-33.93
78,Lebu,ET,59.0,72,6.93,75,38.73,8.96
79,Vaini,IN,70.47,56,4.27,0,74.49,15.34
80,Kruisfontein,ZA,61.66,80,9.42,0,24.73,-34.0
81,Kaeo,NZ,76.86,79,8.41,76,173.78,-35.1
82,Cayenne,GF,77.0,83,11.41,75,-52.33,4.94
83,Bluff,AU,90.64,58,4.61,0,149.07,-23.58
84,Celestun,MX,77.68,93,22.5,0,-90.4,20.87
85,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
86,Chokurdakh,RU,-10.71,73,12.44,68,147.9,70.62
87,Kahului,US,75.2,83,8.05,40,-156.47,20.89
88,Lebu,ET,59.0,72,6.93,75,38.73,8.96
89,Pisco,PE,71.6,88,16.11,90,-76.2,-13.71
90,Ust-Kuyga,RU,-24.66,36,2.93,44,135.55,70.0
91,Punta Arenas,CL,48.2,93,14.99,90,-70.91,-53.16
92,Ingham,AU,85.77,84,2.48,0,146.16,-18.65
93,Thompson,CA,-14.81,62,5.82,20,-97.86,55.74
94,Arraial do Cabo,BR,75.87,95,11.99,24,-42.02,-22.97
95,Vostok,RU,4.41,50,3.04,8,135.83,46.45
96,Butaritari,KI,81.91,100,7.18,76,172.79,3.07
97,New Norfolk,AU,60.8,67,18.34,75,147.06,-42.78
98,Butaritari,KI,81.91,100,7.18,76,172.79,3.07
99,Salalah,OM,69.8,77,1.81,40,54.1,17.01
100,San Quintin,PH,82.4,74,2.24,20,120.52,17.54
101,Eunice,US,73.4,87,4.7,92,-92.42,30.49
102,Kaitangata,NZ,73.67,47,23.51,20,169.85,-46.28
103,Maua,KE,59.76,91,1.03,76,37.94,0.23
104,Port Alfred,ZA,71.73,91,16.24,0,26.89,-33.59
105,Kukmor,RU,14.36,85,7.29,88,50.9,56.19
106,Tamandare,BR,76.86,85,2.71,44,-70.75,-8.28
107,Mataura,NZ,70.93,51,27.54,76,168.86,-46.19
108,Luderitz,NA,64.4,82,5.82,36,15.16,-26.65
109,Punta Arenas,CL,48.2,93,14.99,90,-70.91,-53.16
110,Hobart,AU,60.8,67,18.34,75,147.33,-42.88
111,Liyang,CN,50.27,93,4.05,92,119.48,31.42
112,Mar del Plata,AR,71.87,41,23.62,0,-67.52,-46.43
113,Albany,US,32.0,79,6.93,90,-73.75,42.65
114,Arraial do Cabo,BR,75.87,95,11.99,24,-42.02,-22.97
115,Castro,CL,58.82,93,3.94,76,-73.76,-42.48
116,Punta Arenas,CL,48.2,93,14.99,90,-70.91,-53.16
117,Smirnykh,RU,9.36,68,10.42,48,142.83,49.74
118,Khatanga,RU,-23.58,35,3.6,44,102.47,71.98
119,Faanui,PF,81.55,100,13.22,80,-151.75,-16.48
120,New Norfolk,AU,60.8,67,18.34,75,147.06,-42.78
121,Cherskiy,RU,-7.47,62,3.15,36,161.3,68.75
122,Kodiak,US,33.8,55,5.82,1,-94.76,39.95
123,Lavrentiya,RU,29.97,91,31.79,80,-170.99,65.58
124,Luanda,AO,75.2,94,4.7,75,13.24,-8.83
125,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
126,Butaritari,KI,81.91,100,7.18,76,172.79,3.07
127,Lasa,CY,60.8,93,6.93,0,32.53,34.92
128,Sao Filipe,CV,68.31,100,16.91,20,-24.5,14.9
129,Verkhnevilyuysk,RU,-11.79,57,3.94,48,120.31,63.45
130,Hambantota,LK,78.44,100,11.21,0,81.12,6.12
131,Punta Arenas,CL,48.2,93,14.99,90,-70.91,-53.16
132,Hilo,US,78.8,61,6.96,1,-155.08,19.71
133,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
134,Bethel,US,37.4,64,11.41,1,-161.76,60.79
135,Novyy Urengoy,RU,7.02,78,8.63,88,76.63,66.08
136,Nantucket,US,37.4,74,18.34,90,-70.1,41.28
137,Longyearbyen,NO,8.6,65,8.05,20,15.63,78.22
138,Punta Arenas,CL,48.2,93,14.99,90,-70.91,-53.16
139,Kapaa,US,77.0,69,11.41,1,-159.32,22.08
140,Albany,US,32.0,79,6.93,90,-73.75,42.65
141,Atuona,PF,80.37,100,14.23,76,-139.03,-9.8
142,Mataura,NZ,70.93,51,27.54,76,168.86,-46.19
143,Bubaque,GW,73.4,73,6.93,0,-15.83,11.28
144,Airai,TL,84.56,53,2.71,0,125.41,-8.93
145,Black River,JM,78.8,78,4.7,20,-77.85,18.03
146,Saint George,GR,41.0,93,4.7,0,22.34,39.45
147,Nova Olimpia,BR,78.17,76,6.4,20,-57.29,-14.8
148,Geraldton,CA,10.4,72,5.82,5,-86.95,49.72
149,Vaini,IN,70.47,56,4.27,0,74.49,15.34
150,Praxedis Guerrero,MX,57.2,76,4.16,20,-106.02,31.37
151,Bluff,AU,90.64,58,4.61,0,149.07,-23.58
152,Natal,BR,73.4,100,3.36,75,-35.21,-5.81
153,Pisco,PE,71.6,88,16.11,90,-76.2,-13.71
154,Hermanus,ZA,56.52,93,3.15,0,19.24,-34.42
155,Port Lincoln,AU,68.58,94,5.17,100,135.86,-34.72
156,Jamestown,AU,79.47,70,7.07,68,138.6,-33.21
157,Snezhnogorsk,RU,6.8,84,2.24,75,33.23,69.19
158,Mataura,NZ,70.93,51,27.54,76,168.86,-46.19
159,Kapaa,US,77.0,69,11.41,1,-159.32,22.08
160,Vigrestad,NO,35.6,93,14.99,75,5.7,58.57
161,Punta Arenas,CL,48.2,93,14.99,90,-70.91,-53.16
162,Punta Arenas,CL,48.2,93,14.99,90,-70.91,-53.16
163,Chuy,UY,69.04,88,13.44,0,-53.46,-33.69
164,Ushuaia,AR,48.2,87,12.75,40,-68.31,-54.81
165,Tuatapere,NZ,63.64,87,23.4,36,167.69,-46.13
166,Hilo,US,78.8,61,6.96,1,-155.08,19.71
167,Sao Filipe,CV,68.31,100,16.91,20,-24.5,14.9
168,Bluff,AU,90.64,58,4.61,0,149.07,-23.58
169,Srednekolymsk,RU,-7.33,61,3.71,88,153.71,67.46
170,Kyshtovka,RU,1.94,70,11.1,76,76.62,56.56
171,Ponta do Sol,BR,63.1,98,4.72,44,-46.0,-20.63
172,New Norfolk,AU,60.8,67,18.34,75,147.06,-42.78
173,Georgetown,GY,73.4,88,8.05,0,-58.16,6.8
174,Mataura,NZ,70.93,51,27.54,76,168.86,-46.19
175,Ushuaia,AR,48.2,87,12.75,40,-68.31,-54.81
176,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
177,Busselton,AU,73.81,90,10.98,0,115.35,-33.64
178,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
179,Kanniyakumari,IN,79.83,100,16.91,0,77.57,8.08
180,Muros,ES,41.0,86,3.36,0,-9.06,42.77
181,Albany,US,32.0,79,6.93,90,-73.75,42.65
182,Bredasdorp,ZA,59.0,93,4.7,0,20.04,-34.53
183,Sergeyevka,KZ,14.31,85,10.54,76,67.42,53.88
184,Bluff,AU,90.64,58,4.61,0,149.07,-23.58
185,Tselinnoye,UA,30.25,93,6.73,56,34.18,45.9
186,Almeirim,PT,51.8,81,10.29,0,-8.63,39.21
187,Nemuro,JP,14.0,66,12.75,75,145.57,43.32
188,Villa Carlos Paz,AR,71.6,83,4.7,75,-64.5,-31.42
189,Cabedelo,BR,75.2,94,6.93,75,-34.84,-6.97
190,Chapais,CA,17.6,78,14.99,90,-74.86,49.78
191,Luderitz,NA,64.4,82,5.82,36,15.16,-26.65
192,Cidreira,BR,71.24,82,16.13,0,-50.22,-30.17
193,San Cristobal,EC,55.4,82,11.41,75,-78.55,-0.39
194,Puerto Ayora,EC,80.6,78,8.05,20,-90.35,-0.74
195,Victoria,BN,84.2,83,3.36,75,115.24,5.28
196,Ushuaia,AR,48.2,87,12.75,40,-68.31,-54.81
197,Petropavlovsk-Kamchatskiy,RU,21.2,53,8.95,20,158.65,53.05
198,Klaksvik,FO,35.6,74,6.93,12,-6.59,62.23
199,Grindavik,IS,30.2,92,12.75,75,-22.43,63.84
200,Ushuaia,AR,48.2,87,12.75,40,-68.31,-54.81
201,Miraflores,CO,53.91,97,2.26,88,-73.14,5.2
202,Kapaa,US,77.0,69,11.41,1,-159.32,22.08
203,Berdigestyakh,RU,-11.12,54,3.83,64,126.7,62.1
204,Sibolga,ID,77.76,85,1.7,12,98.78,1.74
205,Cape Town,ZA,59.0,87,10.29,0,18.42,-33.93
206,Macamic,CA,24.8,68,16.11,90,-79.0,48.75
207,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
208,Nizhneudinsk,RU,7.61,66,5.84,80,99.03,54.91
209,Banda Aceh,ID,79.47,88,3.6,64,95.32,5.56
210,Atuona,PF,80.37,100,14.23,76,-139.03,-9.8
211,Butaritari,KI,81.91,100,7.18,76,172.79,3.07
212,Kununurra,AU,84.2,79,10.29,75,128.74,-15.77
213,Lagoa,PT,51.8,93,3.36,0,-8.45,37.14
214,Mar del Plata,AR,71.87,41,23.62,0,-67.52,-46.43
215,Ushuaia,AR,48.2,87,12.75,40,-68.31,-54.81
216,Cape Town,ZA,59.0,87,10.29,0,18.42,-33.93
217,Delta del Tigre,UY,77.0,57,9.17,0,-56.41,-34.76
218,Kosonsoy,UZ,32.0,62,2.24,40,71.55,41.25
219,Invermere,CA,11.84,66,1.92,68,-116.03,50.51
220,Punta Arenas,CL,48.2,93,14.99,90,-70.91,-53.16
221,Dickinson,US,12.2,78,5.82,75,-102.79,46.88
222,Rocha,UY,69.94,61,10.31,0,-54.34,-34.48
223,Arraial do Cabo,BR,75.87,95,11.99,24,-42.02,-22.97
224,Aksu,KZ,-14.81,83,2.82,90,76.93,52.04
225,Punta Arenas,CL,48.2,93,14.99,90,-70.91,-53.16
226,Jardim,BR,72.45,91,3.27,76,-56.15,-21.48
227,Labuhan,ID,79.93,83,3.04,80,115.51,-2.54
228,Kaitangata,NZ,73.67,47,23.51,20,169.85,-46.28
229,College,US,19.4,92,3.36,90,-147.8,64.86
230,Hasaki,JP,37.4,29,11.41,75,140.83,35.73
231,Cururupu,BR,74.39,99,3.49,64,-44.87,-1.82
232,Mataura,NZ,70.93,51,27.54,76,168.86,-46.19
233,Nadym,RU,4.91,78,7.4,92,72.51,65.53
234,Saint-Pierre,FR,33.8,80,5.82,75,4.24,48.95
235,Ust-Maya,RU,-13.37,61,3.71,36,134.54,60.42
236,Jamestown,AU,79.47,70,7.07,68,138.6,-33.21
237,Ushuaia,AR,48.2,87,12.75,40,-68.31,-54.81
238,Longyearbyen,NO,8.6,65,8.05,20,15.63,78.22
239,Vaini,IN,70.47,56,4.27,0,74.49,15.34
240,Upernavik,GL,-4.05,100,11.21,32,-56.15,72.79
241,Saskylakh,RU,-27.63,44,2.93,32,114.09,71.97
242,Albany,US,32.0,79,6.93,90,-73.75,42.65
243,Mataura,NZ,70.93,51,27.54,76,168.86,-46.19
244,Vaini,IN,70.47,56,4.27,0,74.49,15.34
245,Port Alfred,ZA,71.73,91,16.24,0,26.89,-33.59
246,Saskylakh,RU,-27.63,44,2.93,32,114.09,71.97
247,Ubinskoye,RU,-9.36,69,10.09,24,79.68,55.31
248,Jumla,NP,23.54,73,1.92,0,82.18,29.28
249,Luderitz,NA,64.4,82,5.82,36,15.16,-26.65
250,Hofn,IS,34.3,100,1.36,32,-15.21,64.25
251,Longyearbyen,NO,8.6,65,8.05,20,15.63,78.22
252,Port Alfred,ZA,71.73,91,16.24,0,26.89,-33.59
253,Ambilobe,MG,69.57,91,2.71,20,49.05,-13.19
254,Qaanaaq,GL,-10.22,86,3.6,32,-69.36,77.48
255,Punta Arenas,CL,48.2,93,14.99,90,-70.91,-53.16
256,Oranjemund,ZA,62.51,95,4.38,88,16.43,-28.55
257,Bredasdorp,ZA,59.0,93,4.7,0,20.04,-34.53
258,Tiksi,RU,-22.37,33,2.93,0,128.87,71.64
259,Mwinilunga,ZM,65.16,100,2.59,92,24.43,-11.73
260,Bluff,AU,90.64,58,4.61,0,149.07,-23.58
261,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
262,Mataura,NZ,70.93,51,27.54,76,168.86,-46.19
263,Nioro,GM,74.21,37,10.54,12,-15.05,13.79
264,Hermanus,ZA,56.52,93,3.15,0,19.24,-34.42
265,Mount Gambier,AU,66.74,78,3.38,88,140.78,-37.83
266,Zhezkazgan,KZ,0.0,74,12.44,20,67.71,47.8
267,Jamestown,AU,79.47,70,7.07,68,138.6,-33.21
268,Khani,GE,46.4,93,2.24,90,42.96,41.96
269,Bara,NG,69.31,46,7.07,0,10.6,10.41
270,Samarai,PG,85.14,94,14.9,8,150.67,-10.62
271,Lebu,ET,59.0,72,6.93,75,38.73,8.96
272,Barrow,AR,70.2,86,8.41,48,-60.23,-38.31
273,Georgetown,GY,73.4,88,8.05,0,-58.16,6.8
274,Iberia,PE,75.92,90,1.59,8,-69.49,-11.41
275,Tiksi,RU,-22.37,33,2.93,0,128.87,71.64
276,Hasaki,JP,37.4,29,11.41,75,140.83,35.73
277,Punta Arenas,CL,48.2,93,14.99,90,-70.91,-53.16
278,La Ronge,CA,-4.01,53,6.93,5,-105.3,55.1
279,Torbay,CA,10.4,60,26.4,5,-52.73,47.66
280,Atuona,PF,80.37,100,14.23,76,-139.03,-9.8
281,Mahajanga,MG,77.0,94,6.93,40,46.32,-15.72
282,Esperance,TT,73.4,78,5.95,20,-61.45,10.24
283,Jamestown,AU,79.47,70,7.07,68,138.6,-33.21
284,Dubai,AE,71.6,43,3.36,0,55.3,25.27
285,Bambous Virieux,MU,77.0,94,4.7,40,57.76,-20.34
286,Fukue,JP,39.2,60,26.4,75,136.69,35.03
287,New Norfolk,AU,60.8,67,18.34,75,147.06,-42.78
288,Avera,US,71.6,93,3.36,1,-82.53,33.19
289,Los Llanos de Aridane,ES,62.6,67,14.99,40,-17.92,28.66
290,Aswan,EG,51.8,100,2.24,0,32.9,24.09
291,Kapaa,US,77.0,69,11.41,1,-159.32,22.08
292,Port Alfred,ZA,71.73,91,16.24,0,26.89,-33.59
293,Nichinan,JP,42.8,60,6.93,20,131.31,31.65
294,Punta Arenas,CL,48.2,93,14.99,90,-70.91,-53.16
295,Wilmington,US,33.8,100,3.94,90,-75.55,39.75
296,Cape Town,ZA,59.0,87,10.29,0,18.42,-33.93
297,Dukat,RS,22.77,77,1.92,36,22.31,42.44
298,Mahebourg,MU,77.0,94,4.7,40,57.7,-20.41
299,Talara,PE,76.23,78,3.38,88,-81.27,-4.58
300,Bluff,AU,90.64,58,4.61,0,149.07,-23.58
301,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
302,Nikolskoye,RU,24.8,92,6.71,75,30.79,59.7
303,Busselton,AU,73.81,90,10.98,0,115.35,-33.64
304,East London,ZA,73.94,95,22.5,20,27.91,-33.02
305,Nikolskoye,RU,24.8,92,6.71,75,30.79,59.7
306,Vardo,US,33.8,86,8.05,90,-77.74,39.62
307,Bethel,US,37.4,64,11.41,1,-161.76,60.79
308,Namibe,AO,75.6,100,7.96,36,12.15,-15.19
309,Hermanus,ZA,56.52,93,3.15,0,19.24,-34.42
310,Yellowknife,CA,-11.21,63,16.11,90,-114.38,62.45
311,Maldonado,UY,73.4,73,8.05,0,-54.96,-34.91
312,Hasaki,JP,37.4,29,11.41,75,140.83,35.73
313,Port Elizabeth,US,33.8,100,4.5,90,-74.98,39.31
314,Thompson,CA,-14.81,62,5.82,20,-97.86,55.74
315,Yellowknife,CA,-11.21,63,16.11,90,-114.38,62.45
316,Abbeville,FR,32.0,100,4.7,12,1.83,50.11
317,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
318,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
319,San Patricio,PY,73.98,93,2.26,44,-56.83,-26.98
320,Kutum,SD,56.39,44,9.75,0,24.66,14.2
321,Yellowknife,CA,-11.21,63,16.11,90,-114.38,62.45
322,Upernavik,GL,-4.05,100,11.21,32,-56.15,72.79
323,Lundazi,ZM,67.69,86,9.42,0,33.17,-12.29
324,Thompson,CA,-14.81,62,5.82,20,-97.86,55.74
325,Hermanus,ZA,56.52,93,3.15,0,19.24,-34.42
326,Songea,TZ,60.62,90,3.38,0,35.65,-10.68
327,Seoul,KR,30.2,30,5.82,0,126.98,37.57
328,Rimbey,CA,8.6,55,3.36,90,-114.24,52.64
329,Butaritari,KI,81.91,100,7.18,76,172.79,3.07
330,Palana,RU,21.29,84,4.94,80,159.95,59.08
331,Norman Wells,CA,15.8,56,21.92,40,-126.83,65.28
332,Vao,EE,21.51,87,7.4,80,26.19,59.1
333,Nanortalik,GL,26.29,100,11.65,64,-45.24,60.14
334,Denpasar,ID,84.2,79,13.87,75,115.22,-8.65
335,Adrar,DZ,57.2,20,14.99,0,-0.29,27.87
336,Lishu,CN,22.64,51,3.83,36,124.32,43.31
337,Sawai Madhopur,IN,60.62,63,3.15,0,76.35,26.02
338,Avera,US,71.6,93,3.36,1,-82.53,33.19
339,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
340,Torbay,CA,10.4,60,26.4,5,-52.73,47.66
341,Georgetown,GY,73.4,88,8.05,0,-58.16,6.8
342,Inirida,CO,73.81,98,2.15,64,-67.92,3.87
343,Vaini,IN,70.47,56,4.27,0,74.49,15.34
344,Butaritari,KI,81.91,100,7.18,76,172.79,3.07
345,Tessalit,ML,63.41,37,1.48,8,1.01,20.2
346,Yellowknife,CA,-11.21,63,16.11,90,-114.38,62.45
347,Awbari,LY,44.29,59,5.39,68,12.77,26.59
348,Okakarara,NA,59.05,36,8.63,0,17.46,-20.59
349,Belaya Gora,RU,-9.32,68,7.4,92,146.19,68.54
350,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
351,Tasiilaq,GL,30.2,80,29.97,88,-37.64,65.61
352,Saryozek,KZ,15.44,82,2.93,68,77.98,44.36
353,Mataura,NZ,70.93,51,27.54,76,168.86,-46.19
354,East London,ZA,73.94,95,22.5,20,27.91,-33.02
355,Qaanaaq,GL,-10.22,86,3.6,32,-69.36,77.48
356,Mount Gambier,AU,66.74,78,3.38,88,140.78,-37.83
357,Faanui,PF,81.55,100,13.22,80,-151.75,-16.48
358,Hasaki,JP,37.4,29,11.41,75,140.83,35.73
359,Almora,IN,47.52,61,3.04,0,79.66,29.6
360,Fairbanks,US,19.4,92,3.36,90,-147.72,64.84
361,Rehoboth,NA,51.21,48,8.75,0,17.08,-23.31
362,Barrow,AR,70.2,86,8.41,48,-60.23,-38.31
363,Dong Xoai,VN,80.29,85,3.71,92,106.92,11.53
364,Vaini,IN,70.47,56,4.27,0,74.49,15.34
365,Ushuaia,AR,48.2,87,12.75,40,-68.31,-54.81
366,Busselton,AU,73.81,90,10.98,0,115.35,-33.64
367,Manacor,ES,55.4,66,10.29,75,3.21,39.57
368,Ribeira Grande,PT,61.97,98,20.04,64,-28.7,38.52
369,Vila Franca do Campo,PT,55.4,76,5.82,40,-25.43,37.72
370,Lappeenranta,FI,5.0,92,2.24,5,28.19,61.06
371,Kapaa,US,77.0,69,11.41,1,-159.32,22.08
372,Ribeira Grande,PT,61.97,98,20.04,64,-28.7,38.52
373,Husavik,CA,1.54,69,3.27,24,-96.99,50.56
374,Araouane,ML,66.25,29,4.61,76,-3.53,18.9
375,Saint-Joseph,FR,51.8,100,4.7,90,6.97,43.56
376,Cidreira,BR,71.24,82,16.13,0,-50.22,-30.17
377,Bathsheba,BB,77.0,73,18.34,40,-59.52,13.22
378,Tocopilla,CL,62.01,100,3.94,8,-70.2,-22.09
379,Cabo San Lucas,MX,77.0,69,4.7,75,-109.91,22.89
380,Pevek,RU,2.66,67,6.51,64,170.27,69.7
381,Srednekolymsk,RU,-7.33,61,3.71,88,153.71,67.46
382,Cape Town,ZA,59.0,87,10.29,0,18.42,-33.93
383,Sinnamary,GF,74.21,100,9.42,92,-52.96,5.38
384,Ushuaia,AR,48.2,87,12.75,40,-68.31,-54.81
385,Mahebourg,MU,77.0,94,4.7,40,57.7,-20.41
386,Tautira,PF,86.0,66,14.99,75,-149.15,-17.73
387,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
388,Vaini,IN,70.47,56,4.27,0,74.49,15.34
389,Avarua,CK,78.8,88,6.93,75,-159.78,-21.21
390,Mataura,NZ,70.93,51,27.54,76,168.86,-46.19
391,Espanola,CA,25.97,80,9.42,88,-81.77,46.27
392,Tuktoyaktuk,CA,-2.21,76,19.46,20,-133.03,69.44
393,East London,ZA,73.94,95,22.5,20,27.91,-33.02
394,Albany,US,32.0,79,6.93,90,-73.75,42.65
395,Port Elizabeth,US,33.8,100,4.5,90,-74.98,39.31
396,Torbay,CA,10.4,60,26.4,5,-52.73,47.66
397,Mayo,CA,3.2,77,3.36,20,-135.9,63.59
398,Guerrero Negro,MX,64.35,85,4.16,0,-114.04,27.97
399,Avarua,CK,78.8,88,6.93,75,-159.78,-21.21
400,Punta Arenas,CL,48.2,93,14.99,90,-70.91,-53.16
401,Sortland,NO,12.2,78,5.82,0,15.42,68.69
402,Pevek,RU,2.66,67,6.51,64,170.27,69.7
403,Kyabe,TD,68.22,90,14.12,80,18.94,9.45
404,Upernavik,GL,-4.05,100,11.21,32,-56.15,72.79
405,Rajgarh,IN,62.37,61,2.82,0,76.73,24.01
406,Cabo San Lucas,MX,77.0,69,4.7,75,-109.91,22.89
407,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
408,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
409,Saint George,GR,41.0,93,4.7,0,22.34,39.45
410,Chuy,UY,69.04,88,13.44,0,-53.46,-33.69
411,Shuyskoye,RU,19.35,90,6.73,80,41.03,59.37
412,Barrow,AR,70.2,86,8.41,48,-60.23,-38.31
413,Albany,US,32.0,79,6.93,90,-73.75,42.65
414,Punta Arenas,CL,48.2,93,14.99,90,-70.91,-53.16
415,Alofi,NU,84.2,70,11.41,12,-169.92,-19.06
416,Hilo,US,78.8,61,6.96,1,-155.08,19.71
417,Codrington,AU,82.54,66,5.84,0,153.24,-28.95
418,Tungor,RU,2.16,88,10.87,24,142.95,53.39
419,Avera,US,71.6,93,3.36,1,-82.53,33.19
420,Jamestown,AU,79.47,70,7.07,68,138.6,-33.21
421,Saint Anthony,US,42.8,44,20.8,90,-111.68,43.97
422,Hermanus,ZA,56.52,93,3.15,0,19.24,-34.42
423,Norman Wells,CA,15.8,56,21.92,40,-126.83,65.28
424,Pisco,PE,71.6,88,16.11,90,-76.2,-13.71
425,Estacion Coahuila,MX,69.8,15,4.7,1,-115.0,32.19
426,Henties Bay,NA,62.46,100,3.71,92,14.28,-22.12
427,Rome,IT,50.0,76,5.82,75,12.48,41.89
428,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
